user,location,text,sentiment,probability
cambioweb,"Miami, FL",twhashtag | twhashtag | industria lactea nacional opera hasta % de su capacidad. twhashtag twhashtag :… twurl,Positivo,51
62Dvf,,"twhashtag pensamiento del libertador y padre de la patria grande, simon bolivar. twurl",Positivo,54
laprensalara,"Barquisimeto, Venezuela","twhashtag | china esta ""profundamente preocupada"" por el anuncio del presidente trump de suspender la contribuci… twurl",Positivo,54
ISP_Bolivar,Estado Bolívar,twhashtag este miercoles iniciaron los trabajos para la realizacion del do pozo de agua para brindar este vital liqui… twurl,Positivo,52
saidmoanack,"Táchira, Venezuela",ahora :pm ciudadanos residentes del pasaje cumana san cristobal twhashtag agradecen al personal de… twurl,Positivo,57
Alconde,"Caracas, Venezuela","en soledad, al sur del estado anzoategui, trataron de disolver la protesta de los ciudadanos con fuerzas antimotine… twurl",Positivo,51
Manuel_23G,"Táchira, Venezuela","desde la pm hay feria de bajones, la v va y viene cada rato. twhashtag",Positivo,52
contrapuntovzla,,twhashtag estas son algunas recomendaciones de eset para el teletrabajo y las videoconferencias en tiempos de cuarente… twurl,Positivo,52
ZEPortuguesa,@MPPEDUCACION,twhashtag | twhashtag  estudiante con impedimento motor del aula integrada de twhashtag ana susana ousett en e… twurl,Positivo,52
maxiopinion,Mèrida,"buenas tardes, imagen de hoy. etiquetas twhashtag twhashtag twhashtag twhashtag twurl",Positivo,52
lafuerzadchavez,"Barinas, Venezuela","en horas de la mañana tambien visite ciudad tavacare, donde active el pozo # que surte a los sectores a y b de es… twurl",Neutro,50
ACamberoC23,Perú ,twhashtag || twhashtag || dia  de emergencia nacional en twhashtag de  muestras:=  negativas=  ca… twurl,Positivo,51
ISP_Bolivar,Estado Bolívar,"twhashtag el twhashtag realizo abordaje de salud en la comunidad indigena de cambalache, pueblo warao, parroquia unare, m… twurl",Positivo,52
ISP_Bolivar,Estado Bolívar,"twhashtag ademas se realizo toma de nuestras de malaria, desnutricion, vacunacion, entrega de medicamentos, de mascari… twurl",Positivo,51
ISP_Bolivar,Estado Bolívar,este miercoles twhashtag iniciaron los trabajos para la realizacion del do pozo de agua para brindar este vital liqui… twurl,Positivo,52
amg9847,"Caracas, Venezuela","twhashtag twhashtag twhashtag twhashtag kilometros de la via coro, punto fijo recorre la cola de vehiculos… twurl",Positivo,52
elPeriodicoDM,Maturín Estado Monagas,le cortaron las manos por andar robando en el mercado viejo - twurl twhashtag twhashtag twhashtag twurl,Positivo,51
GeorgeArtwell,,twhashtag ay valee y no disque era la refineria de el palito parao que iba a surtir en gasolina a venezue… twurl,Positivo,52
BhagavanVasquez,Venezuela,"twhashtag twhashtag twhashtag y demas alrededores, viven hoy lo que muchas otras ciudades del pais se h… twurl",Positivo,52
62Dvf,,"twhashtag tal dia como hoy en , se descubrio el primer campo petrolero ubicado en mene-grande, edo. zulia. twurl",Positivo,52
DannyJMontilla,Venezuela,mega bajon numero.. ya perdi la cuenta.  twhashtag twhashtag,Positivo,51
periodistaAM,ASESOR COMUNICACIONAL,: pm. el papa de los bajones electricos acaba de ocurrir a esta hora en twhashtag el numero  del dia. pulsaciones aceleradas. twhashtag,Positivo,52
contrapuntovzla,,"twhashtag el consenso para el pago de alquileres debe prevalecer durante la pandemia, recomiendan danelly colmenares y… twurl",Positivo,52
QPEV_,"Caracas, Venezuela",las noticias economicas mas importantes de hoy twhashtag twurl. twurl,Positivo,52
TeLoCuentoNewsV,,"twhashtag twhashtag el diputado twmention denuncia un ""nuevo ataque"" contra los periodistas en venezuela. indica que… twurl",Positivo,52
LibretoJunior,Planeta de los Simios,twhashtag el humano es pedir nada que no es la universidad.,Positivo,52
gobiernodelara2,,twhashtag gobernadora twmention activo las brigadas comunitarias de produccion y trabajo con la finalidad de me… twurl,Positivo,52
ReporteYa,Venezuela,twhashtag twhashtag twhashtag dos medicos fallecieron a causa del twhashtag en twhashtag los decesos tuvieron lu… twurl,Positivo,52
TostonPeludo,,atentos📢 | este twhashtag no te despegues de tus redes sociales📲 porque empezara la fiesta del twhashtag las… twurl,Positivo,51
infocaquetio,,twhashtag en twhashtag municipio zamora twhashtag fue detenido por twmention alexander jose () por violencia de gen… twurl,Positivo,54
NoticiasVao,Venezuela,twhashtag | foro penal (@foropenal) denuncia situacion irregular en twhashtag mas de  presos amotinados se enfren… twurl,Positivo,52
contrapuntovzla,,twhashtag fmi proyecta contraccion economica de % para venezuela este  por el coronavirus twurl twurl,Positivo,53
VoluntariosxVe,Venezuela,"twhashtag a todo lo anterior, se suma la agudizacion de las fallas en los servicios publicos, agravando el panorama di… twurl",Positivo,52
ExtraVzla,"Caracas, Venezuela",sntp denuncia la detencion del periodista arnaldo sumoza mientras cubria una protesta en guarico twhashtag twurl,Positivo,52
VoluntariosxVe,Venezuela,"twhashtag segun la encuesta nacional impacto covid el ,% del pais no esta recibiendo distribucion de combustible… twurl",Positivo,52
62Dvf,,¡feliz dia mundial del arte! a todos los artistas que con sus creaciones contribuyen a construir el mundo nuevo de… twurl,Positivo,52
desde5738,"Bogotá, Colombia",twhashtag twhashtag twhashtag twhashtag twhashtag todo es un show de television. twurl,Positivo,53
gujosepe,"Venezuela, llevando vergas.",twmention twhashtag twhashtag y toda la directiva mantienen operando ilegalmente la twhashtag twurl,Positivo,52
contrapuntovzla,,twhashtag en medio de la pandemia fedenaga alerta dificultades en el sector por falta de combustible… twurl,Positivo,52
descifradocom,CARACAS,"jorge rodriguez: ""instalamos un laboratorio de virologia en tachira"" - descifrado twurl twhashtag twurl",Positivo,52
MiamiDiario,"Miami, FL",extendida la prohibicion de alquileres de vacaciones en florida  twhashtag twurl,Positivo,53
Analitica,"Caracas, Venezuela","segun el instituto de politicas agricolas de la confederacion de asociaciones de productores agropecuarios (ipaf),… twurl",Positivo,52
venezuelaaldia,Venezuela,"twhashtag | oms: ""naciones que suavicen cuarentena deberian esperar al menos dos semanas""  twurl",Positivo,52
CuradasVE,Venezuela,twhashtag humor en cuarentena – nosabemosparaquees- twurl,Positivo,58
latpress,,twhashtag | indocumentados son liberados en ee.uu. por miedo al covid- twurl twurl,Positivo,51
GeorgeArtwell,,"twhashtag mas alla de todas la basura conspiracionistaque estoy leyendo sobre bill gates, racionalmente e intuitivamen… twurl",Positivo,55
Atenasnews,Venezuela,"twhashtag socopo, municipio sucre de barinas. motorizados toman estacion de servicio pdv de la troncal … twurl",Positivo,52
enteratee24,Venezuela,twhashtag | twhashtag | tres hombres fueron asesinados con armas de fuego y sus cuerpos abandonados en pleno pavimen… twurl,Positivo,51
fronteravivanew,Colombia,"twhashtag 🇻🇪 | 👨🏻‍⚕👩🏽‍⚕ mas de  estudiantes de medicina, de la twhashtag merida, partieron el dia de ayer hacia barinas y… twurl",Positivo,52
zulia1972,,ahora guri central hidroelectrica  surte de agua a caracas / video twmention twhashtag  informacion el sistema tu… twurl,Neutro,51
El_Cooperante,"Caracas, Venezuela",twhashtag | coronavirus marca record de  muertes en twhashtag 🇺🇸 durante  horas twurl,Positivo,53
ReporteYa,Venezuela,twhashtag twhashtag twhashtag cerro uno de los hospitales construidos en  dias ante aparente victoria contra el… twurl,Positivo,53
elPeriodicoDM,Maturín Estado Monagas,de un disparo asesinan a joven en la invasion de la puente - twurl twhashtag twhashtag twhashtag twurl,Positivo,52
amg9847,"Caracas, Venezuela",twhashtag twhashtag twhashtag si hay algo vital en medio de esta twhashtag de twhashtag son los servicios de e… twurl,Positivo,52
ElPitazoTV,Venezuela,¿ya viste las recomendaciones de seguridad que da la eset latinoamerica para quienes trabajen desde casa debido al… twurl,Positivo,53
Trolebus_Merida,"Ejido, estado Mérida","twhashtag edward rojas, pdte tromerca: seguimos en esta lucha permanente y vamos a vencer con la ayuda de todos. la p… twurl",Positivo,50
desde5738,"Bogotá, Colombia",twhashtag twhashtag twhashtag twhashtag twhashtag es una mentira. nos estan m… twurl,Positivo,52
filomenoestefa,,"guaido y maduro tienen full la nevera peor nosotros los venezolanos comun y corriente no tenemos agua , gasolina ,… twurl",Positivo,55
El_Cooperante,"Caracas, Venezuela",twhashtag | sismo de magnitud . en colombia se sintio en varios estados de venezuela twurl,Positivo,53
santamariamonic,Venezuela,twhashtag soy monica santamaria hermana de jose luis santamaria hago responsable al gob de nicolas maduro ante situaci… twurl,Positivo,55
GUNNER1337,,"pero tranquilos, nada mas van  muertos. verdad twmention ?#abr twurl",Neutro,54
guzmanalecio,,"twhashtag twhashtag especial de desinfeccion""cada espacio del pais. la cuarentena no nos detendra, seguir… twurl",Positivo,52
contrapuntovzla,,twhashtag mueren ocho disidentes de las farc en operacion militar en colombia twurl twurl,Positivo,51
PayULatam,América Latina,"aprende como mejorar tus ventas por medio de herramientas como facebook, instagram y whatsapp business como un prof… twurl",Positivo,53
JMendozaDaza,"Barranquilla, Colombia",elevemos nuestras oraciones por el mundo. hoy francia 🇫🇷 registro . muertos con covid- contabilizando un tota… twurl,Positivo,52
bienenterados,Caracas,servicio delivery en caracas con sabor a  la montserratina twurl twhashtag twhashtag,Positivo,52
hassanamid02,"Medellín, Colombia",nancy pelosis se va va quedar sin pelusa. twhashtag twhashtag twhashtag  twhashtag twurl,Positivo,53
edwin_papita,Cabimas-Zulia-Venezuela,twhashtag twhashtag sucediendo en churuguara twhashtag hoy twhashtag en plena cuarentena la ciudadania amanecio p… twurl,Positivo,50
ESPIAEL,,mas de  funcionarios de la dgcim intentan ingresar a la fuerza a ramo verde twhashtag twurl via twmention,Positivo,52
ContactoCantv,Venezuela,"twhashtag ¡hagamos uso responsable de la red! 🤳💻no envies archivos de mucho peso, mejor difunde los enlaces o las ru… twurl",Positivo,53
KiaraJanette,,twhashtag || las promesas de twhashtag es clara y debemos recordar esto ⤵️#dios es nuestro twhashtag twhashtag es nuestro… twurl,Positivo,52
fundamiarbolven,Venezuela,"twhashtag twhashtag || para que un incendio forestal se produzca se necesitan tres elementos como lo es el calor, el… twurl",Positivo,51
Fredyandradea,,"en guatire, conductores protestaron por falta de gasolina en la e/s castillejo. denuncian que tienen mas de dos dia… twurl",Positivo,52
Trolebus_Merida,"Ejido, estado Mérida","twhashtag edward rojas, pdte tromerca: esta jornada viene a profundizar el trabajo de desinfeccion que se ha venido r… twurl",Positivo,52
guzmanalecio,,"twhashtag |📢 ¡la etiqueta del dia! ⏩ twhashtag gobierno nacional despliega el ""plan especial de… twurl",Positivo,51
Jimnez271,,egipto y etiopia podrian ser las primeras dos naciones en ir a la guerra por el agua. el rio nilo atraviesa ambas n… twurl,Positivo,53
ElInformadorVE,#Venezuela,twhashtag  twhashtag  oms: tres vacunas del covid- estan en ensayos clinicos y otras  en desarrollo| amplia… twurl,Positivo,51
amg9847,"Caracas, Venezuela",twhashtag twhashtag reporta . nuevos casos de twhashtag elevandose la cifra total a . casos y  nuevas m… twurl,Neutro,54
Bladimirjgt,,twhashtag uno. twurl,Positivo,52
latpress,,twhashtag | cientificos: coronavirus puede sobrevivir a mas de  grados twurl,Positivo,52
SowyTorres,,twhashtag fuerte bajon de luz en los teques :pm,Positivo,52
contrapuntovzla,,twhashtag yummy ofrece entrega de alimentos y bebidas a domicilio en caracas twurl twurl,Positivo,52
Marte_Ven1,,habitantes en anzoategui protestan en las calles para exigir cajas clap y agua potable twhashtag (fotos) twurl,Positivo,51
RMarcoTorres,Venezuela,"twhashtag durante el recorrido por el bulevar perez almarza para verificar los trabajos de desinfeccion, constatamos e… twurl",Positivo,52
descifradocom,CARACAS,"conozca las medidas impuestas a un mes de cuarentena para suministro de gasolina, denuncia twmention twhashtag twurl",Positivo,52
PsuvMirandaVE,"Miranda, Venezuela. ", mil  familias de miranda atendidas con jornada yo compro en casa twhashtag twhashtag twurl,Positivo,51
MTineo01,,twhashtag twhashtag twhashtag twmention  twmention twmention twmention twurl,Positivo,52
elimpulsocom,Venezuela,venezuela reclama la constitucion de un gobierno de emergencia nacional twhashtag twurl,Positivo,53
ResisTemplario,#ResistenciaVenezuela ,"twhashtag twhashtag en puerta. venezuela estado guarico, valle de la pascua.  continuan las protestas a nivel n… twurl",Positivo,54
secdespachogob1,"Ciudad Bolivar, Venezuela",twhashtag desde el edo bolivar mpio. angostura del orinoco le deseamos un feliz cumpleaños a nuestro vicepresidente de… twurl,Positivo,52
elimpulsocom,Venezuela,fundahullan presenta informe de graves violaciones a los ddhh en los llanos durante cuarentena en la an twhashtag twurl,Positivo,51
SoyArepita,Venezuela,twhashtag ¿sabes cuales son los factores psicologicos de riesgo y proteccion en cuarentena? ⚠️mañana hablaremos larg… twurl,Positivo,51
elnegrodurango,"Bogotá, D.C., Colombia","que se puede esperar de twmention estara borracho como siempre, como cuando perdio y fue borracho a… twurl",Positivo,52
Trolebus_Merida,"Ejido, estado Mérida","twhashtag jehyson guzman: fueron desplegadas  personas, para desinfectar y embellecer, inicialmente, km, utiliza… twurl",Positivo,52
contrapuntovzla,,"twhashtag en cumana la cuarentena es un calvario, denuncia unidad vision venezuela twurl twurl",Positivo,55
DiarioContraste,Venezuela | Colombia | Miami,presos tres venezolanos llegados desde colombia por divulgar condiciones de un albergue twurl… twurl,Positivo,51
Corposalud_,"Mérida, Venezuela",twhashtag resumen informativo desde la oficina central de informacion de la gobernacion de twhashtag twurl,Positivo,52
GNB_CZ43,,"twhashtag en estos tiempos de cuarentena social, nuestra gnb se mantienen garantizando la paz y ratificando su apoyo a… twurl",Positivo,54
ecupunto,Ecuador,twhashtag asamblea nacional enviara proyecto de ley de acuicultura y pesca al registro oficial twhashtag twurl,Positivo,52
JhonattanGonza,,situacion critica con la escasez de agua en terrazas de guaicoco-mariche. antes resolvian con cisternas o salian a… twurl,Positivo,52
RentdisMx,mex,"¿saben que medidas tomaron los blancos durante esta contingencia? 👀en esta imagen se las dejamos. ⚠️#rentdis, r… twurl",Positivo,52
contrapuntovzla,,presos de la carcel de ramo verde impidieron paso de funcionarios de la dgcim por temor al coronavirus este twhashtag twurl,Positivo,52
MinPetroleoVE,Venezuela,🇻🇪 twhashtag twhashtag  años nicolas maduro obtuvo la presidencia de venezuela por primera vez. 📲💻… twurl,Positivo,54
segurosybanca,"Distrito Capital, Venezuela",twhashtag | twhashtag | autoridades de taiwan revelaron que en diciembre le advirtieron a la oms del coronaviru… twurl,Positivo,51
notipromar,"Barquisimeto, Venezuela",twhashtag ante el ultimo reporte ofrecido por el ministro jorge rodriguez le presentamos un balanc… twurl,Positivo,52
ElPitazoTV,Venezuela,"twmention twhashtag | ""exigimos que nos dejen pasar porque nosotros somos familiares de las victimas y ya es hor… twurl",Positivo,52
RafaelDGuzmanR,"Miranda, Venezuela",twhashtag ¿asi es como estos irresponsables pretenden mantener confinada a nuestra gente un mes mas? ¡irresponsables!… twurl,Positivo,52
RafaelDGuzmanR,"Miranda, Venezuela",twhashtag un pais que era productor de petroleo hoy somete a sus ciudadanos a comprar gasolina bachaqueada pagandola a… twurl,Positivo,52
locoyabandonado,,aqui es cuando yo gozo una bola con estos socialistas enclosetaoss 🤣🤣 twhashtag twhashtag twhashtag twhashtag twurl,Positivo,51
maduradascom,"Caracas, Distrito Capital",¡lo ultimo! dolar paralelo sigue imparable tras superar los . bolivares y asi se cotiza este twhashtag (+tasa pr… twurl,Positivo,51
anabarr84,,twhashtag  | dos medicos fallecieron a causa del twhashtag en twhashtag los decesos tuvieron lugar en la ciudad de ca… twurl,Positivo,51
libretosinfin,,twhashtag advertencia miranda: cualquier cosa que diga puede y sera usada en su contra.,Positivo,51
Ricard512,Colombia,otros ??y para cuando los equipos de proteccion??#coronavirus twhashtag twhashtag twhashtag twurl,Positivo,51
amg9847,"Caracas, Venezuela","twhashtag francia reporta . nuevos casos de twhashtag elevandose la cifra total a . casos, ademas de .… twurl",Neutro,55
VTnewsRed,Venezuela,puerto rico: pasajeros de las zonas de mayor contagio en eeuu arriban a la isla 👉  twurl… twurl,Positivo,51
ReporteYa,Venezuela,twhashtag twhashtag twhashtag covid- imagenes de una crisis en el mundo.  de abril - twmention twurl,Positivo,52
contrapuntovzla,,twhashtag ¿ver o no clases por zoom? la duda de los estudiantes de la santa maria twurl twurl,Neutro,50
oasistereo1,"La Victoria, Edo Aragua, Venezuela",twhashtag via:@fmcenter  intercomunal del twhashtag circulacion moderada en ambos sentidos twhashtag twhashtag,Positivo,51
josecard82,,twmention twhashtag hoy en dia la tragedia de los venezolanos se agudiza al caer en cuenta de una realidad brut… twurl,Positivo,52
LaPrensaTachira,"San Cristóbal, Venezuela","twhashtag | resultados seran entregados a bachelet📑 el dip. virgilio ferrer, solicito que se conforme una comisio… twurl",Positivo,52
ElPitazoTV,Venezuela,twhashtag | familiares de  falconianos desaparecidos en un peñero que zarpo desde paraguana para ingresar de forma… twurl,Positivo,52
ZEPortuguesa,@MPPEDUCACION,twhashtag | en twhashtag  niños de aula integrada de la twhashtag luz de pereira en el mcpo twhashtag en sus activida… twurl,Positivo,52
Marco_Teruggi,,esta tarde analizaremos en vivo con twmention la geopolitica global y la situacion de america latina ante el… twurl,Positivo,51
Trolebus_Merida,"Ejido, estado Mérida",twhashtag el plan nacional de desinfeccion y embellecimiento que instruyo el pdte twmention en todo el pais inic… twurl,Positivo,50
INAMEH,Venezuela,twhashtag twhashtag  en la secuencia de imagenes se observa nubosidad convectiva con descargas electricas al sur… twurl,Positivo,51
anabarr84,,twhashtag | en twhashtag hasta los motorizados exigen combustible. antes la gente compraba moticos pensando en que era… twurl,Positivo,52
elPeriodicoDM,Maturín Estado Monagas,artistas del carnaval de maturin siguen sin recibir pago de premiaciones - twurl twhashtag twhashtag twurl,Positivo,52
CealcoOficial,Venezuela,twhashtag || 📢 mercal en nueva esparta inicio plan de desinfeccion de espacios y contencion contra el covid-.puede… twurl,Positivo,50
TvesSonrie,Venezuela,"¡hey amigos! recuerda los colores de este año ️⃣️⃣️⃣️⃣ leomir alvarado, invitado de la revista matutina… twurl",Positivo,51
GNB_CARABODESUR,"Valencia, Venezuela","los hombres y mujeres de la gnb permanecen activamente desplegados y sumados a esta gran jornada de desinfeccion, que… twurl",Positivo,52
VzlaVive2020,Venezuela,este jueves twhashtag no te puedes perder la programacion que traemos para ti en tiempos de cuarentena y que podras di… twurl,Positivo,52
GNB_CARABODESUR,"Valencia, Venezuela","twhashtag de ,  se funda el colegio de arquitectos de venezuela, con el fin de dar impulso al estudio y desarrollo… twurl",Positivo,52
contrapuntovzla,,twhashtag el % de las empresas de fedeindustria estan activas durante la cuarentena twurl twurl,Positivo,52
enteratee24,Venezuela,twhashtag | twhashtag | una mujer denuncio que su expareja se habia llevado a su hijo de  meses desde el domingo y… twurl,Positivo,52
VTnewsRed,Venezuela,"el protocolo de reingreso a venezuela esta garantizado antes, durante y despues 👉  twurl… twurl",Positivo,51
Caro_lina713,Venezuela ,"twhashtag gobierno de donald trump se ha encargado de asfixiar todo el desarrollo de la economia venezolana, con sus s… twurl",Positivo,52
plaza_aguerrida,"Guarenas, Venezuela",twhashtag a traves del plan de atencion que lleva a cabo twmention en los centros de salud se realizo la dotacion… twurl,Positivo,50
josecard82,,twmention twhashtag pareciera que a algunos no les interesa que el pais se incendie si ello les permite gobernar las cenizas.,Positivo,51
itspeperengel,"Cumana, Venezuela","twhashtag twhashtag twmention denuncia situacion irregular en ramo verde ante el ""ingreso a la fuerza de funcionarios… twurl",Positivo,52
descifradocom,CARACAS,"kremlin dice que acuerdo opep+ evitara el «caos» en el mercado , reseña twmention twhashtag twurl twurl",Positivo,52
contrapuntovzla,,twhashtag sismo en colombia se sintio en algunas regiones de venezuela twurl twurl,Positivo,52
elclarinweb,Aragua,twhashtag twhashtag por  dolares asesino a su amigo y lo sepulto en su patio twurl,Positivo,51
Analitica,"Caracas, Venezuela","las actividades comenzarian del  al  de junio en el charles schwab challenge, dijeron varias fuentes en un repo… twurl",Positivo,52
venezuelaaldia,Venezuela,twhashtag | mas de dos millones de casos de covid- se han registrado en el mundo twurl,Positivo,51
MiamiDiario,"Miami, FL",esposa de luis fonsi deslumbra con su figura en bikini (+fotos)  twhashtag twurl,Positivo,50
LaTeleTuya,"Caracas, Venezuela",hoy twhashtag descubriremos que ocurre en la cabeza de clara twhashtag 🕘: p.m.¡recuerda! twhashtag twurl,Positivo,50
fundamiarbolven,Venezuela,twhashtag conoce que efectos producen los incendios forestales en los ecosistemas twmention twmention twurl,Positivo,52
amg9847,"Caracas, Venezuela",twhashtag twhashtag reporta . casos de twhashtag y . muertos.la canciller angela merkel comunica que l… twurl,Positivo,51
VTnewsRed,Venezuela,twhashtag venezolanos diagnostican el oficio de informar durante la pandemia 👉… twurl,Positivo,52
enteratee24,Venezuela,twhashtag | twhashtag | ecuador se acerca a . contagiados#enterate twurl,Positivo,52
ChristianVeron,"Caracas, Venezuela","twhashtag visitas y sin ingresos, algunos twhashtag en crisis se preparan para medidas drasticas.el… twurl",Positivo,52
RedRadioVe,Venezuela,twhashtag twhashtag twhashtag 📣 ochoa antich admite la eficacia en la politica de salud del estado venezola… twurl,Positivo,51
CaceNc,Venezuela,en cucuta caobos - twhashtag twhashtag twhashtag disfrutala! twurl,Positivo,52
Cmdte_RGP_ANZ,Barcelona-Anzoategui,twhashtag enterate dorso de la mano con el dedo indice señalando hacia la derechagnb desplegada en labores de extincio… twurl,Positivo,52
abogadostovarm1,,"mañana jueves  de abril, en vivo directo por instagram la abogada vestalia tovar les respondera todas sus pregunt… twurl",Positivo,52
ipysvenezuela,"Caracas, Venezuela",twhashtag | señal de twmention para llamadas y datos tiene mas de  horas caida en twhashtag twhashtag desde l… twurl,Positivo,52
ElInformadorVE,#Venezuela,twhashtag twhashtag detienen a cinco mujeres que daban informacion de comerciantes a extrorsionadores en el zulia… twurl,Positivo,52
fundamiarbolven,Venezuela,twhashtag twhashtag en caso de incendios forestales llama al  ven  o a cualquiera de estos numeros para denunci… twurl,Positivo,51
Class987FM,"San Carlos,Cojedes,Venezuela","twhashtag twmention denuncio que la ""carcel de ramo verde esta siendo allanada ilegalmente por efectivos del es… twurl",Positivo,52
VaIoRock,Tercera Piedra desde El Sol,"atencion: estas son las etiquetas para hoy, twhashtag // twhashtag twurl",Positivo,52
guillerpalacios,"Lara, Venezuela",twhashtag twhashtag los pobladores del municipio moran twhashtag buscando surtir twhashtag y las cavas amarillas de… twurl,Positivo,51
